Source	Revision	Code	Name
stats	200612	110000	北京市
stats	200612	110100	市辖区
stats	200612	110101	东城区
stats	200612	110102	西城区
stats	200612	110103	崇文区
stats	200612	110104	宣武区
stats	200612	110105	朝阳区
stats	200612	110106	丰台区
stats	200612	110107	石景山区
stats	200612	110108	海淀区
stats	200612	110109	门头沟区
stats	200612	110111	房山区
stats	200612	110112	通州区
stats	200612	110113	顺义区
stats	200612	110114	昌平区
stats	200612	110115	大兴区
stats	200612	110116	怀柔区
stats	200612	110117	平谷区
stats	200612	110200	县
stats	200612	110228	密云县
stats	200612	110229	延庆县
stats	200612	120000	天津市
stats	200612	120100	市辖区
stats	200612	120101	和平区
stats	200612	120102	河东区
stats	200612	120103	河西区
stats	200612	120104	南开区
stats	200612	120105	河北区
stats	200612	120106	红桥区
stats	200612	120107	塘沽区
stats	200612	120108	汉沽区
stats	200612	120109	大港区
stats	200612	120110	东丽区
stats	200612	120111	西青区
stats	200612	120112	津南区
stats	200612	120113	北辰区
stats	200612	120114	武清区
stats	200612	120115	宝坻区
stats	200612	120200	县
stats	200612	120221	宁河县
stats	200612	120223	静海县
stats	200612	120225	蓟县
stats	200612	130000	河北省
stats	200612	130100	石家庄市
stats	200612	130101	市辖区
stats	200612	130102	长安区
stats	200612	130103	桥东区
stats	200612	130104	桥西区
stats	200612	130105	新华区
stats	200612	130107	井陉矿区
stats	200612	130108	裕华区
stats	200612	130121	井陉县
stats	200612	130123	正定县
stats	200612	130124	栾城县
stats	200612	130125	行唐县
stats	200612	130126	灵寿县
stats	200612	130127	高邑县
stats	200612	130128	深泽县
stats	200612	130129	赞皇县
stats	200612	130130	无极县
stats	200612	130131	平山县
stats	200612	130132	元氏县
stats	200612	130133	赵县
stats	200612	130181	辛集市
stats	200612	130182	藁城市
stats	200612	130183	晋州市
stats	200612	130184	新乐市
stats	200612	130185	鹿泉市
stats	200612	130200	唐山市
stats	200612	130201	市辖区
stats	200612	130202	路南区
stats	200612	130203	路北区
stats	200612	130204	古冶区
stats	200612	130205	开平区
stats	200612	130207	丰南区
stats	200612	130208	丰润区
stats	200612	130223	滦县
stats	200612	130224	滦南县
stats	200612	130225	乐亭县
stats	200612	130227	迁西县
stats	200612	130229	玉田县
stats	200612	130230	唐海县
stats	200612	130281	遵化市
stats	200612	130283	迁安市
stats	200612	130300	秦皇岛市
stats	200612	130301	市辖区
stats	200612	130302	海港区
stats	200612	130303	山海关区
stats	200612	130304	北戴河区
stats	200612	130321	青龙满族自治县
stats	200612	130322	昌黎县
stats	200612	130323	抚宁县
stats	200612	130324	卢龙县
stats	200612	130400	邯郸市
stats	200612	130401	市辖区
stats	200612	130402	邯山区
stats	200612	130403	丛台区
stats	200612	130404	复兴区
stats	200612	130406	峰峰矿区
stats	200612	130421	邯郸县
stats	200612	130423	临漳县
stats	200612	130424	成安县
stats	200612	130425	大名县
stats	200612	130426	涉县
stats	200612	130427	磁县
stats	200612	130428	肥乡县
stats	200612	130429	永年县
stats	200612	130430	邱县
stats	200612	130431	鸡泽县
stats	200612	130432	广平县
stats	200612	130433	馆陶县
stats	200612	130434	魏县
stats	200612	130435	曲周县
stats	200612	130481	武安市
stats	200612	130500	邢台市
stats	200612	130501	市辖区
stats	200612	130502	桥东区
stats	200612	130503	桥西区
stats	200612	130521	邢台县
stats	200612	130522	临城县
stats	200612	130523	内丘县
stats	200612	130524	柏乡县
stats	200612	130525	隆尧县
stats	200612	130526	任县
stats	200612	130527	南和县
stats	200612	130528	宁晋县
stats	200612	130529	巨鹿县
stats	200612	130530	新河县
stats	200612	130531	广宗县
stats	200612	130532	平乡县
stats	200612	130533	威县
stats	200612	130534	清河县
stats	200612	130535	临西县
stats	200612	130581	南宫市
stats	200612	130582	沙河市
stats	200612	130600	保定市
stats	200612	130601	市辖区
stats	200612	130602	新市区
stats	200612	130603	北市区
stats	200612	130604	南市区
stats	200612	130621	满城县
stats	200612	130622	清苑县
stats	200612	130623	涞水县
stats	200612	130624	阜平县
stats	200612	130625	徐水县
stats	200612	130626	定兴县
stats	200612	130627	唐县
stats	200612	130628	高阳县
stats	200612	130629	容城县
stats	200612	130630	涞源县
stats	200612	130631	望都县
stats	200612	130632	安新县
stats	200612	130633	易县
stats	200612	130634	曲阳县
stats	200612	130635	蠡县
stats	200612	130636	顺平县
stats	200612	130637	博野县
stats	200612	130638	雄县
stats	200612	130681	涿州市
stats	200612	130682	定州市
stats	200612	130683	安国市
stats	200612	130684	高碑店市
stats	200612	130700	张家口市
stats	200612	130701	市辖区
stats	200612	130702	桥东区
stats	200612	130703	桥西区
stats	200612	130705	宣化区
stats	200612	130706	下花园区
stats	200612	130721	宣化县
stats	200612	130722	张北县
stats	200612	130723	康保县
stats	200612	130724	沽源县
stats	200612	130725	尚义县
stats	200612	130726	蔚县
stats	200612	130727	阳原县
stats	200612	130728	怀安县
stats	200612	130729	万全县
stats	200612	130730	怀来县
stats	200612	130731	涿鹿县
stats	200612	130732	赤城县
stats	200612	130733	崇礼县
stats	200612	130800	承德市
stats	200612	130801	市辖区
stats	200612	130802	双桥区
stats	200612	130803	双滦区
stats	200612	130804	鹰手营子矿区
stats	200612	130821	承德县
stats	200612	130822	兴隆县
stats	200612	130823	平泉县
stats	200612	130824	滦平县
stats	200612	130825	隆化县
stats	200612	130826	丰宁满族自治县
stats	200612	130827	宽城满族自治县
stats	200612	130828	围场满族蒙古族自治县
stats	200612	130900	沧州市
stats	200612	130901	市辖区
stats	200612	130902	新华区
stats	200612	130903	运河区
stats	200612	130921	沧县
stats	200612	130922	青县
stats	200612	130923	东光县
stats	200612	130924	海兴县
stats	200612	130925	盐山县
stats	200612	130926	肃宁县
stats	200612	130927	南皮县
stats	200612	130928	吴桥县
stats	200612	130929	献县
stats	200612	130930	孟村回族自治县
stats	200612	130981	泊头市
stats	200612	130982	任丘市
stats	200612	130983	黄骅市
stats	200612	130984	河间市
stats	200612	131000	廊坊市
stats	200612	131001	市辖区
stats	200612	131002	安次区
stats	200612	131003	广阳区
stats	200612	131022	固安县
stats	200612	131023	永清县
stats	200612	131024	香河县
stats	200612	131025	大城县
stats	200612	131026	文安县
stats	200612	131028	大厂回族自治县
stats	200612	131081	霸州市
stats	200612	131082	三河市
stats	200612	131100	衡水市
stats	200612	131101	市辖区
stats	200612	131102	桃城区
stats	200612	131121	枣强县
stats	200612	131122	武邑县
stats	200612	131123	武强县
stats	200612	131124	饶阳县
stats	200612	131125	安平县
stats	200612	131126	故城县
stats	200612	131127	景县
stats	200612	131128	阜城县
stats	200612	131181	冀州市
stats	200612	131182	深州市
stats	200612	140000	山西省
stats	200612	140100	太原市
stats	200612	140101	市辖区
stats	200612	140105	小店区
stats	200612	140106	迎泽区
stats	200612	140107	杏花岭区
stats	200612	140108	尖草坪区
stats	200612	140109	万柏林区
stats	200612	140110	晋源区
stats	200612	140121	清徐县
stats	200612	140122	阳曲县
stats	200612	140123	娄烦县
stats	200612	140181	古交市
stats	200612	140200	大同市
stats	200612	140201	市辖区
stats	200612	140202	城区
stats	200612	140203	矿区
stats	200612	140211	南郊区
stats	200612	140212	新荣区
stats	200612	140221	阳高县
stats	200612	140222	天镇县
stats	200612	140223	广灵县
stats	200612	140224	灵丘县
stats	200612	140225	浑源县
stats	200612	140226	左云县
stats	200612	140227	大同县
stats	200612	140300	阳泉市
stats	200612	140301	市辖区
stats	200612	140302	城区
stats	200612	140303	矿区
stats	200612	140311	郊区
stats	200612	140321	平定县
stats	200612	140322	盂县
stats	200612	140400	长治市
stats	200612	140401	市辖区
stats	200612	140402	城区
stats	200612	140411	郊区
stats	200612	140421	长治县
stats	200612	140423	襄垣县
stats	200612	140424	屯留县
stats	200612	140425	平顺县
stats	200612	140426	黎城县
stats	200612	140427	壶关县
stats	200612	140428	长子县
